Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.25,..,..,..,..,1.74,..,..,..,..,3.08,..,..,..,..,4.02,..,..,..,..,4.93,..,..,..,..,5.65,..,..,..,..,6.54,..,..,..,..,7.1,..,..,..,..,7.48,..,..,..,..,7.19,..,..,..,..,7.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.02,..,..,..,..,1.25,..,..,..,..,1.38,..,..,..,..,1.57,..,..,..,..,2.25,..,..,..,..,2.82,..,..,..,..,3.13,..,..,..,..,3.68,..,..,..,..,4.48,..,..,..,..,5.24,..,..,..,..,5.91,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.16,..,..,..,..,6.66,..,..,..,..,8.31,..,..,..,..,7.65,..,..,..,..,7.31,..,..,..,..,7.98,..,..,..,..,8.45,..,..,..,..,8.88,..,..,..,..,8.81,..,..,..,..,9.34,..,..,..,..,9.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,6.95,..,..,..,..,7.18,..,..,..,..,7.66,..,..,..,..,8.03,..,..,..,..,8.5,..,..,..,..,8.97,..,..,..,..,9.43,..,..,..,..,10,..,..,..,..,10.29,..,..,..,..,10.59,..,..,..,..,10.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,7.56,..,..,..,..,7.53,..,..,..,..,7.74,..,..,..,..,7.95,..,..,..,..,7.69,..,..,..,..,7.91,..,..,..,..,8.76,..,..,..,..,9.4,..,..,..,..,10.08,..,..,..,..,10.76,..,..,..,..,11.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.65,..,..,..,..,0.77,..,..,..,..,0.84,..,..,..,..,0.94,..,..,..,..,1.22,..,..,..,..,1.71,..,..,..,..,2.16,..,..,..,..,2.61,..,..,..,..,3.11,..,..,..,..,3.72,..,..,..,..,4.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
